"","item_definition","Age_Months","Percentage_Knowing"
"1","alligator","16",0.02
"2","alligator","17",0.04
"3","alligator","18",0.06
"4","alligator","19",0.13
"5","alligator","20",0.14
"6","alligator","21",0.19
"7","alligator","22",0.22
"8","alligator","23",0.3
"9","alligator","24",0.4
"10","alligator","25",0.47
"11","alligator","26",0.5
"12","alligator","27",0.52
"13","alligator","28",0.74
"14","alligator","29",0.66
"15","alligator","30",0.7
"16","animal","16",0.03
"17","animal","17",0.07
"18","animal","18",0.11
"19","animal","19",0.2
"20","animal","20",0.21
"21","animal","21",0.28
"22","animal","22",0.33
"23","animal","23",0.44
"24","animal","24",0.5
"25","animal","25",0.56
"26","animal","26",0.58
"27","animal","27",0.61
"28","animal","28",0.78
"29","animal","29",0.71
"30","animal","30",0.73
"31","ant","16",0.04
"32","ant","17",0.06
"33","ant","18",0.1
"34","ant","19",0.18
"35","ant","20",0.21
"36","ant","21",0.23
"37","ant","22",0.26
"38","ant","23",0.37
"39","ant","24",0.43
"40","ant","25",0.49
"41","ant","26",0.51
"42","ant","27",0.54
"43","ant","28",0.74
"44","ant","29",0.63
"45","ant","30",0.66
"46","bear","16",0.23
"47","bear","17",0.29
"48","bear","18",0.37
"49","bear","19",0.51
"50","bear","20",0.55
"51","bear","21",0.57
"52","bear","22",0.6
"53","bear","23",0.66
"54","bear","24",0.74
"55","bear","25",0.78
"56","bear","26",0.79
"57","bear","27",0.84
"58","bear","28",0.91
"59","bear","29",0.86
"60","bear","30",0.85
"61","bee","16",0.13
"62","bee","17",0.23
"63","bee","18",0.28
"64","bee","19",0.4
"65","bee","20",0.44
"66","bee","21",0.5
"67","bee","22",0.5
"68","bee","23",0.64
"69","bee","24",0.68
"70","bee","25",0.72
"71","bee","26",0.71
"72","bee","27",0.74
"73","bee","28",0.89
"74","bee","29",0.82
"75","bee","30",0.83
"76","bird","16",0.32
"77","bird","17",0.42
"78","bird","18",0.5
"79","bird","19",0.63
"80","bird","20",0.65
"81","bird","21",0.71
"82","bird","22",0.7
"83","bird","23",0.77
"84","bird","24",0.81
"85","bird","25",0.89
"86","bird","26",0.89
"87","bird","27",0.89
"88","bird","28",0.95
"89","bird","29",0.9
"90","bird","30",0.9
"91","bug","16",0.1
"92","bug","17",0.15
"93","bug","18",0.22
"94","bug","19",0.38
"95","bug","20",0.39
"96","bug","21",0.4
"97","bug","22",0.49
"98","bug","23",0.57
"99","bug","24",0.63
"100","bug","25",0.7
"101","bug","26",0.73
"102","bug","27",0.72
"103","bug","28",0.89
"104","bug","29",0.77
"105","bug","30",0.76
"106","bunny","16",0.13
"107","bunny","17",0.22
"108","bunny","18",0.32
"109","bunny","19",0.42
"110","bunny","20",0.48
"111","bunny","21",0.54
"112","bunny","22",0.55
"113","bunny","23",0.64
"114","bunny","24",0.71
"115","bunny","25",0.75
"116","bunny","26",0.76
"117","bunny","27",0.77
"118","bunny","28",0.89
"119","bunny","29",0.86
"120","bunny","30",0.82
"121","butterfly","16",0.06
"122","butterfly","17",0.1
"123","butterfly","18",0.14
"124","butterfly","19",0.24
"125","butterfly","20",0.27
"126","butterfly","21",0.33
"127","butterfly","22",0.42
"128","butterfly","23",0.52
"129","butterfly","24",0.59
"130","butterfly","25",0.66
"131","butterfly","26",0.67
"132","butterfly","27",0.69
"133","butterfly","28",0.86
"134","butterfly","29",0.82
"135","butterfly","30",0.82
"136","cat","16",0.35
"137","cat","17",0.42
"138","cat","18",0.45
"139","cat","19",0.61
"140","cat","20",0.65
"141","cat","21",0.66
"142","cat","22",0.75
"143","cat","23",0.79
"144","cat","24",0.82
"145","cat","25",0.87
"146","cat","26",0.88
"147","cat","27",0.92
"148","cat","28",0.94
"149","cat","29",0.93
"150","cat","30",0.92
"151","cow","16",0.19
"152","cow","17",0.25
"153","cow","18",0.34
"154","cow","19",0.5
"155","cow","20",0.54
"156","cow","21",0.53
"157","cow","22",0.58
"158","cow","23",0.68
"159","cow","24",0.75
"160","cow","25",0.8
"161","cow","26",0.8
"162","cow","27",0.85
"163","cow","28",0.93
"164","cow","29",0.87
"165","cow","30",0.87
"166","deer","16",0.05
"167","deer","17",0.08
"168","deer","18",0.1
"169","deer","19",0.16
"170","deer","20",0.14
"171","deer","21",0.23
"172","deer","22",0.25
"173","deer","23",0.34
"174","deer","24",0.34
"175","deer","25",0.37
"176","deer","26",0.42
"177","deer","27",0.44
"178","deer","28",0.65
"179","deer","29",0.51
"180","deer","30",0.53
"181","dog","16",0.62
"182","dog","17",0.65
"183","dog","18",0.74
"184","dog","19",0.78
"185","dog","20",0.81
"186","dog","21",0.82
"187","dog","22",0.83
"188","dog","23",0.86
"189","dog","24",0.89
"190","dog","25",0.93
"191","dog","26",0.93
"192","dog","27",0.94
"193","dog","28",0.98
"194","dog","29",0.95
"195","dog","30",0.94
"196","donkey","16",0.02
"197","donkey","17",0.06
"198","donkey","18",0.06
"199","donkey","19",0.1
"200","donkey","20",0.11
"201","donkey","21",0.16
"202","donkey","22",0.19
"203","donkey","23",0.26
"204","donkey","24",0.27
"205","donkey","25",0.3
"206","donkey","26",0.3
"207","donkey","27",0.34
"208","donkey","28",0.53
"209","donkey","29",0.4
"210","donkey","30",0.45
"211","duck","16",0.4
"212","duck","17",0.44
"213","duck","18",0.49
"214","duck","19",0.62
"215","duck","20",0.63
"216","duck","21",0.67
"217","duck","22",0.7
"218","duck","23",0.76
"219","duck","24",0.8
"220","duck","25",0.85
"221","duck","26",0.87
"222","duck","27",0.89
"223","duck","28",0.96
"224","duck","29",0.88
"225","duck","30",0.89
"226","elephant","16",0.07
"227","elephant","17",0.11
"228","elephant","18",0.17
"229","elephant","19",0.28
"230","elephant","20",0.31
"231","elephant","21",0.34
"232","elephant","22",0.48
"233","elephant","23",0.56
"234","elephant","24",0.64
"235","elephant","25",0.67
"236","elephant","26",0.71
"237","elephant","27",0.76
"238","elephant","28",0.88
"239","elephant","29",0.81
"240","elephant","30",0.84
"241","frog","16",0.11
"242","frog","17",0.15
"243","frog","18",0.18
"244","frog","19",0.34
"245","frog","20",0.37
"246","frog","21",0.39
"247","frog","22",0.48
"248","frog","23",0.57
"249","frog","24",0.65
"250","frog","25",0.73
"251","frog","26",0.71
"252","frog","27",0.77
"253","frog","28",0.88
"254","frog","29",0.81
"255","frog","30",0.83
"256","giraffe","16",0.07
"257","giraffe","17",0.1
"258","giraffe","18",0.13
"259","giraffe","19",0.21
"260","giraffe","20",0.21
"261","giraffe","21",0.3
"262","giraffe","22",0.31
"263","giraffe","23",0.46
"264","giraffe","24",0.53
"265","giraffe","25",0.57
"266","giraffe","26",0.57
"267","giraffe","27",0.62
"268","giraffe","28",0.79
"269","giraffe","29",0.71
"270","giraffe","30",0.75
"271","goose","16",0.03
"272","goose","17",0.06
"273","goose","18",0.06
"274","goose","19",0.13
"275","goose","20",0.13
"276","goose","21",0.18
"277","goose","22",0.19
"278","goose","23",0.26
"279","goose","24",0.31
"280","goose","25",0.34
"281","goose","26",0.41
"282","goose","27",0.4
"283","goose","28",0.6
"284","goose","29",0.42
"285","goose","30",0.47
"286","hen","16",0.01
"287","hen","17",0.03
"288","hen","18",0.02
"289","hen","19",0.05
"290","hen","20",0.05
"291","hen","21",0.11
"292","hen","22",0.11
"293","hen","23",0.15
"294","hen","24",0.17
"295","hen","25",0.2
"296","hen","26",0.21
"297","hen","27",0.24
"298","hen","28",0.44
"299","hen","29",0.28
"300","hen","30",0.31
"301","horse","16",0.13
"302","horse","17",0.19
"303","horse","18",0.27
"304","horse","19",0.41
"305","horse","20",0.42
"306","horse","21",0.48
"307","horse","22",0.58
"308","horse","23",0.66
"309","horse","24",0.72
"310","horse","25",0.79
"311","horse","26",0.76
"312","horse","27",0.85
"313","horse","28",0.93
"314","horse","29",0.87
"315","horse","30",0.87
"316","kitty","16",0.35
"317","kitty","17",0.35
"318","kitty","18",0.45
"319","kitty","19",0.57
"320","kitty","20",0.57
"321","kitty","21",0.58
"322","kitty","22",0.63
"323","kitty","23",0.66
"324","kitty","24",0.72
"325","kitty","25",0.78
"326","kitty","26",0.76
"327","kitty","27",0.81
"328","kitty","28",0.9
"329","kitty","29",0.83
"330","kitty","30",0.81
"331","lamb","16",0.03
"332","lamb","17",0.06
"333","lamb","18",0.06
"334","lamb","19",0.12
"335","lamb","20",0.11
"336","lamb","21",0.14
"337","lamb","22",0.22
"338","lamb","23",0.29
"339","lamb","24",0.32
"340","lamb","25",0.38
"341","lamb","26",0.39
"342","lamb","27",0.43
"343","lamb","28",0.61
"344","lamb","29",0.45
"345","lamb","30",0.48
"346","lion","16",0.08
"347","lion","17",0.11
"348","lion","18",0.16
"349","lion","19",0.25
"350","lion","20",0.27
"351","lion","21",0.36
"352","lion","22",0.41
"353","lion","23",0.53
"354","lion","24",0.59
"355","lion","25",0.67
"356","lion","26",0.69
"357","lion","27",0.7
"358","lion","28",0.86
"359","lion","29",0.8
"360","lion","30",0.82
"361","monkey","16",0.1
"362","monkey","17",0.19
"363","monkey","18",0.24
"364","monkey","19",0.36
"365","monkey","20",0.39
"366","monkey","21",0.44
"367","monkey","22",0.55
"368","monkey","23",0.64
"369","monkey","24",0.7
"370","monkey","25",0.79
"371","monkey","26",0.78
"372","monkey","27",0.81
"373","monkey","28",0.92
"374","monkey","29",0.86
"375","monkey","30",0.9
"376","moose","16",0.02
"377","moose","17",0.08
"378","moose","18",0.05
"379","moose","19",0.1
"380","moose","20",0.09
"381","moose","21",0.13
"382","moose","22",0.15
"383","moose","23",0.23
"384","moose","24",0.25
"385","moose","25",0.28
"386","moose","26",0.27
"387","moose","27",0.29
"388","moose","28",0.49
"389","moose","29",0.38
"390","moose","30",0.44
"391","mouse","16",0.06
"392","mouse","17",0.1
"393","mouse","18",0.15
"394","mouse","19",0.26
"395","mouse","20",0.27
"396","mouse","21",0.36
"397","mouse","22",0.44
"398","mouse","23",0.5
"399","mouse","24",0.57
"400","mouse","25",0.61
"401","mouse","26",0.64
"402","mouse","27",0.66
"403","mouse","28",0.85
"404","mouse","29",0.77
"405","mouse","30",0.77
"406","owl","16",0.12
"407","owl","17",0.15
"408","owl","18",0.19
"409","owl","19",0.32
"410","owl","20",0.31
"411","owl","21",0.35
"412","owl","22",0.44
"413","owl","23",0.53
"414","owl","24",0.53
"415","owl","25",0.59
"416","owl","26",0.63
"417","owl","27",0.65
"418","owl","28",0.79
"419","owl","29",0.7
"420","owl","30",0.72
"421","penguin","16",0.04
"422","penguin","17",0.05
"423","penguin","18",0.07
"424","penguin","19",0.13
"425","penguin","20",0.14
"426","penguin","21",0.2
"427","penguin","22",0.29
"428","penguin","23",0.36
"429","penguin","24",0.4
"430","penguin","25",0.42
"431","penguin","26",0.46
"432","penguin","27",0.45
"433","penguin","28",0.64
"434","penguin","29",0.69
"435","penguin","30",0.67
"436","pig","16",0.13
"437","pig","17",0.17
"438","pig","18",0.25
"439","pig","19",0.43
"440","pig","20",0.45
"441","pig","21",0.45
"442","pig","22",0.57
"443","pig","23",0.64
"444","pig","24",0.71
"445","pig","25",0.78
"446","pig","26",0.78
"447","pig","27",0.79
"448","pig","28",0.91
"449","pig","29",0.86
"450","pig","30",0.86
"451","pony","16",0.03
"452","pony","17",0.04
"453","pony","18",0.05
"454","pony","19",0.1
"455","pony","20",0.11
"456","pony","21",0.14
"457","pony","22",0.22
"458","pony","23",0.22
"459","pony","24",0.25
"460","pony","25",0.32
"461","pony","26",0.32
"462","pony","27",0.38
"463","pony","28",0.54
"464","pony","29",0.45
"465","pony","30",0.5
"466","puppy","16",0.22
"467","puppy","17",0.22
"468","puppy","18",0.33
"469","puppy","19",0.44
"470","puppy","20",0.46
"471","puppy","21",0.48
"472","puppy","22",0.58
"473","puppy","23",0.62
"474","puppy","24",0.67
"475","puppy","25",0.74
"476","puppy","26",0.75
"477","puppy","27",0.76
"478","puppy","28",0.88
"479","puppy","29",0.8
"480","puppy","30",0.82
"481","rooster","16",0.03
"482","rooster","17",0.03
