"downloaded","language","form","dataset_name","child_id","age","comprehension","production","is_norming","birth_order","caregiver_education","ethnicity","race","sex","birth_weight","born_early_or_late","gestational_age","zygosity","language_exposures","health_conditions","monolingual","typically_developing"
2023-09-18,"Danish","WS","Bleses",6938,29,516,516,TRUE,"Third","College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6939,29,460,460,TRUE,NA,"None",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6940,29,420,420,TRUE,"Second","Secondary",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6941,29,507,507,TRUE,"Second","Graduate",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6942,29,415,415,TRUE,"First","Graduate",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6943,29,434,434,TRUE,"Second","Some College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6944,29,68,68,TRUE,"First","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6945,29,437,437,TRUE,"Third","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6946,29,569,569,TRUE,"First","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6947,29,625,625,TRUE,"Second","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6948,29,584,584,TRUE,"First","College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6949,29,578,578,TRUE,"First","Secondary",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6950,29,639,639,TRUE,"First","Graduate",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6951,29,522,522,TRUE,"First","College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6952,29,572,572,TRUE,"Second","Some College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6953,29,367,367,TRUE,"First","Secondary",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6954,28,505,505,TRUE,"Third","College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6955,28,416,416,TRUE,"Third","College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6956,29,437,437,TRUE,"First","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6957,29,27,27,TRUE,"Third","Graduate",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6958,29,686,686,TRUE,"First","Some College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6959,28,440,440,TRUE,"Second","Some College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6960,28,262,262,TRUE,"First","College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6961,28,324,324,TRUE,"First","Graduate",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6962,28,479,479,TRUE,"Third","None",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6963,28,536,536,TRUE,"Second","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6964,28,318,318,TRUE,"First","College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6965,28,378,378,TRUE,"First","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6966,28,372,372,TRUE,"Second","College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",6967,28,463,463,TRUE,"First","Some College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
